vol_window,vol_k_sl,rr_ratio,risk_per_trade,commission,slippage,total_return,max_dd,win_rate,sharpe
40,0.5,3.0,0.03,0.0005,0.002,0.26145851185888747,-1.9252294604751308,48.214285714285715,3.458441369796575
40,0.5,3.0,0.02,0.0005,0.002,0.16848368674828085,-1.2837904139416545,48.214285714285715,3.4584413697965743
40,0.5,3.0,0.01,0.0005,0.002,0.08143316327888139,-0.6420300958601688,48.214285714285715,3.4584413697965743
20,0.5,3.0,0.03,0.0005,0.002,0.27014884709621545,-1.9754915843341325,47.540983606557376,3.192950356534949
20,0.5,3.0,0.02,0.0005,0.002,0.17394271472881506,-1.3174220815296955,47.540983606557376,3.1929503565349484
20,0.5,3.0,0.01,0.0005,0.002,0.08400218861634401,-0.6589074128705352,47.540983606557376,3.1929503565349484
10,0.5,3.0,0.03,0.0005,0.002,0.28010965281242894,-2.19374878736196,47.540983606557376,3.0577673848297717
10,0.5,3.0,0.02,0.0005,0.002,0.1801794023659007,-1.463583666310575,47.540983606557376,3.0577673848297717
10,0.5,3.0,0.01,0.0005,0.002,0.08692811349300111,-0.7323155008114424,47.540983606557376,3.0577673848297717
40,0.5,2.0,0.03,0.0005,0.002,0.1644517754233632,-1.9252294604751086,48.214285714285715,2.8414666939622326
40,0.5,2.0,0.02,0.0005,0.002,0.10743169203675729,-1.2837904139416545,48.214285714285715,2.841466693962232
40,0.5,2.0,0.01,0.0005,0.002,0.05263293563667415,-0.6420300958601688,48.214285714285715,2.841466693962232
40,1.0,3.0,0.02,0.0005,0.002,0.17938660788991978,-2.3954916996234865,48.214285714285715,2.703658014809237
40,1.0,3.0,0.01,0.0005,0.002,0.08685522349469865,-1.2013675679195646,48.214285714285715,2.703658014809237
40,1.0,3.0,0.03,0.0005,0.002,0.277804106597501,-3.5823137944370087,48.214285714285715,2.7036580148092364
20,0.5,2.0,0.03,0.0005,0.002,0.16740910911498053,-1.9754915843341214,47.540983606557376,2.562428423303965
20,0.5,2.0,0.02,0.0005,0.002,0.1093805370334302,-1.3174220815296733,47.540983606557376,2.5624284233039645
20,0.5,2.0,0.01,0.0005,0.002,0.05359430839969881,-0.6589074128705574,47.540983606557376,2.5624284233039645
40,1.5,3.0,0.02,0.0005,0.002,0.17728042618253181,-2.3954916996234976,48.214285714285715,2.5412625535982407
40,1.5,3.0,0.01,0.0005,0.002,0.08597696633305119,-1.2013675679195424,48.214285714285715,2.5412625535982407
40,1.5,3.0,0.03,0.0005,0.002,0.274061892358741,-3.5834804854146807,48.214285714285715,2.5412625535982403
40,1.0,2.0,0.02,0.0005,0.002,0.14866486817094127,-2.395491699623453,48.214285714285715,2.5380099057866383
40,1.0,2.0,0.01,0.0005,0.002,0.07243706741422407,-1.2013675679195424,48.214285714285715,2.5380099057866383
40,1.0,2.0,0.03,0.0005,0.002,0.228769575436222,-3.5823137944370087,48.214285714285715,2.538009905786638
40,1.5,2.0,0.02,0.0005,0.002,0.16784609033365605,-2.3954916996234754,48.214285714285715,2.5017283816118043
40,1.5,2.0,0.01,0.0005,0.002,0.08155335046076351,-1.2013675679195424,48.214285714285715,2.5017283816118043
40,1.5,2.0,0.03,0.0005,0.002,0.2589932607016485,-3.5834804854146807,48.214285714285715,2.5017283816118034
10,0.5,2.0,0.03,0.0005,0.002,0.17107887602224037,-2.193748787361949,47.540983606557376,2.453787092212064
10,0.5,2.0,0.02,0.0005,0.002,0.11175332166905982,-1.463583666310575,47.540983606557376,2.4537870922120635
10,0.5,2.0,0.01,0.0005,0.002,0.05474401776116822,-0.7323155008114646,47.540983606557376,2.4537870922120635
20,1.0,3.0,0.03,0.0005,0.002,0.2787077441003094,-3.582313794437053,47.540983606557376,2.4124710561949625
20,1.0,3.0,0.02,0.0005,0.002,0.180167420860325,-2.3954916996234754,47.540983606557376,2.412471056194962
20,1.0,3.0,0.01,0.0005,0.002,0.0873192468666859,-1.2013675679195424,47.540983606557376,2.412471056194962
40,1.5,1.5,0.02,0.0005,0.002,0.14781689639330642,-2.3954916996234643,48.214285714285715,2.3906133780366283
40,1.5,1.5,0.01,0.0005,0.002,0.07212025299041369,-1.2013675679195424,48.214285714285715,2.3906133780366283
40,1.5,1.5,0.03,0.0005,0.002,0.22713999319008482,-3.5834804854146585,48.214285714285715,2.390613378036628
10,1.0,3.0,0.03,0.0005,0.002,0.273420044377122,-3.5834804854146918,47.540983606557376,2.355668252359903
10,1.0,3.0,0.02,0.0005,0.002,0.17682390391924474,-2.3954916996234643,47.540983606557376,2.355668252359903
10,1.0,3.0,0.01,0.0005,0.002,0.08573667386271078,-1.2013675679195424,47.540983606557376,2.355668252359903
20,1.5,3.0,0.03,0.0005,0.002,0.2795927720756881,-3.5834804854146585,47.540983606557376,2.3441824708027617
20,1.5,3.0,0.02,0.0005,0.002,0.180849718573165,-2.3954916996234643,47.540983606557376,2.344182470802761
20,1.5,3.0,0.01,0.0005,0.002,0.08769821228980956,-1.2013675679195535,47.540983606557376,2.344182470802761
20,1.5,2.0,0.03,0.0005,0.002,0.26792881074017294,-3.5834804854146807,47.540983606557376,2.312994270080081
20,1.5,2.0,0.02,0.0005,0.002,0.17356000248117964,-2.3954916996234754,47.540983606557376,2.3129942700800807
20,1.5,2.0,0.01,0.0005,0.002,0.084286781382922,-1.2013675679195646,47.540983606557376,2.3129942700800807
10,1.5,3.0,0.03,0.0005,0.002,0.27657691739382817,-3.5834804854146918,47.540983606557376,2.272312384216605
10,1.5,3.0,0.02,0.0005,0.002,0.17896487655654236,-2.395491699623453,47.540983606557376,2.2723123842166046
10,1.5,3.0,0.01,0.0005,0.002,0.08681614661962822,-1.2013675679195202,47.540983606557376,2.2723123842166046
10,1.0,2.0,0.03,0.0005,0.002,0.251931786145565,-3.5834804854146585,47.540983606557376,2.2707338393769603
10,1.0,2.0,0.02,0.0005,0.002,0.1634121630077694,-2.3954916996234976,47.540983606557376,2.2707338393769594
10,1.0,2.0,0.01,0.0005,0.002,0.07946788806511496,-1.2013675679195535,47.540983606557376,2.2707338393769594
20,1.0,2.0,0.03,0.0005,0.002,0.23157279388347196,-3.58231379443702,47.540983606557376,2.253315459041583
20,1.0,2.0,0.02,0.0005,0.002,0.1506319987346556,-2.3954916996234865,47.540983606557376,2.2533154590415827
20,1.0,2.0,0.01,0.0005,0.002,0.07345855870515927,-1.2013675679195646,47.540983606557376,2.2533154590415827
40,1.0,1.5,0.03,0.0005,0.002,0.1768812205295227,-4.182674845109647,48.214285714285715,2.227259174844097
40,1.0,1.5,0.02,0.0005,0.002,0.11583255449330387,-2.7778986574523157,48.214285714285715,2.227259174844097
40,1.0,1.5,0.01,0.0005,0.002,0.05687246549149205,-1.3833092435894478,48.214285714285715,2.227259174844097
10,1.5,2.0,0.03,0.0005,0.002,0.25754636028403155,-3.583480485414703,47.540983606557376,2.2106874086081425
10,1.5,2.0,0.02,0.0005,0.002,0.16707120215106075,-2.3954916996234976,47.540983606557376,2.210687408608142
10,1.5,2.0,0.01,0.0005,0.002,0.0812501618883541,-1.2013675679195535,47.540983606557376,2.210687408608142
20,1.5,1.5,0.03,0.0005,0.002,0.23549092808088123,-3.5834804854146474,47.540983606557376,2.205420904468142
20,1.5,1.5,0.02,0.0005,0.002,0.15320124592652662,-2.395491699623442,47.540983606557376,2.205420904468142
20,1.5,1.5,0.01,0.0005,0.002,0.07471782277139427,-1.2013675679195424,47.540983606557376,2.205420904468142
10,1.5,1.5,0.03,0.0005,0.002,0.24803108172913246,-3.5834804854146807,47.540983606557376,2.1662052945877974
10,1.5,1.5,0.02,0.0005,0.002,0.1611243649483205,-2.3954916996234643,47.540983606557376,2.1662052945877974
10,1.5,1.5,0.01,0.0005,0.002,0.07846716952271704,-1.2013675679195424,47.540983606557376,2.1662052945877974
40,0.5,1.5,0.02,0.0005,0.002,0.06512040890600979,-2.139117423475423,48.214285714285715,2.0920518359368447
40,0.5,1.5,0.01,0.0005,0.002,0.0322434905896436,-1.0698578701735406,48.214285714285715,2.0920518359368447
40,0.5,1.5,0.03,0.0005,0.002,0.09862702908174859,-3.207540652678398,48.214285714285715,2.0920518359368443
10,1.0,1.5,0.03,0.0005,0.002,0.1836524066021865,-4.009527201042761,47.540983606557376,1.9299521419276426
10,1.0,1.5,0.02,0.0005,0.002,0.12033678336808107,-2.67331934962981,47.540983606557376,1.9299521419276424
10,1.0,1.5,0.01,0.0005,0.002,0.05911241534164535,-1.3370482024934072,47.540983606557376,1.9299521419276424
20,1.0,1.5,0.02,0.0005,0.002,0.10976688297227954,-2.541459433394222,47.540983606557376,1.8780480131123907
20,1.0,1.5,0.01,0.0005,0.002,0.054065280384905545,-1.262779374912637,47.540983606557376,1.8780480131123907
20,1.0,1.5,0.03,0.0005,0.002,0.1670677586990914,-3.8349061887942626,47.540983606557376,1.8780480131123904
20,0.5,1.5,0.02,0.0005,0.002,0.06320495567592821,-2.059942322514219,47.540983606557376,1.800424403972122
20,0.5,1.5,0.01,0.0005,0.002,0.031340276969146874,-1.02977341572571,47.540983606557376,1.800424403972122
20,0.5,1.5,0.03,0.0005,0.002,0.09558404374469287,-3.090261569728725,47.540983606557376,1.8004244039721216
10,0.5,1.5,0.03,0.0005,0.002,0.10202740037893698,-3.3222729239831383,47.540983606557376,1.7835009737491858
10,0.5,1.5,0.02,0.0005,0.002,0.06741161468182733,-2.2164022668062278,47.540983606557376,1.7835009737491856
10,0.5,1.5,0.01,0.0005,0.002,0.033399095963887016,-1.1088990514301234,47.540983606557376,1.7835009737491856
